task_id,code_of_stage,date_time_send,next_stage
314294,stage4,2023-10-24 - 21:32,stage5
314294,stage5,2023-10-25 - 22:33,stage6
314450,stage1,2023-10-20 - 08:59,stage2
314450,stage2,2023-08-22 - 09:00,stage3
314450,stage3,2023-09-06 - 10:15,Rejected
314450,stage1,2023-09-20 - 13:29,stage2
314450,stage2,2023-09-21 - 13:30,stage3
314450,stage3,2023-08-29 - 08:07,stage4
314450,stage4,2023-10-28 - 22:36,stage5
314450,stage5,2023-09-30 - 17:08,stage6
314450,stage6,2023-11-06 - 11:45,stage7
314450,stage7,2023-11-05 - 16:44,stage8
314498,stage1,2023-06-08 - 16:18,stage2
314498,stage2,2023-07-10 - 07:50,stage3
314498,stage3,2023-08-30 - 12:08,Rejected
314498,stage1,2023-09-20 - 10:29,stage2
314498,stage2,2023-08-29 - 11:07,stage3
314498,stage3,2023-09-07 - 13:16,Rejected
314498,stage1,2023-09-07 - 11:16,stage2
314498,stage2,2023-10-16 - 08:55,stage3
314498,stage3,2023-09-12 - 14:21,Rejected
314498,stage1,2023-10-07 - 00:46,stage2
314498,stage2,2023-10-03 - 10:42,Rejected
314498,stage1,2023-09-15 - 08:24,stage2
314498,stage2,2023-09-20 - 08:29,stage3
314498,stage3,2023-10-11 - 08:50,Rejected
314498,stage1,2023-09-15 - 09:24,stage2
314498,stage2,2023-09-16 - 09:25,stage3
314498,stage3,2023-10-13 - 09:52,stage4
314498,stage4,2023-10-21 - 22:29,stage5
314498,stage5,2023-11-09 - 22:48,stage6
314524,stage1,2023-08-23 - 15:01,stage2
314524,stage2,2023-10-22 - 19:30,Rejected
314531,stage1,2023-05-23 - 12:02,stage2
314531,stage2,2023-07-17 - 06:57,stage3
314531,stage3,2023-08-03 - 09:43,Rejected
314531,stage1,2023-07-29 - 09:38,stage2
314531,stage2,2023-08-12 - 06:21,Rejected
314531,stage1,2023-08-22 - 22:31,stage2
314531,stage2,2023-09-08 - 10:17,stage3
314531,stage3,2023-10-20 - 17:59,Rejected
314531,stage1,2023-09-25 - 11:03,stage2
314531,stage2,2023-11-13 - 11:52,Rejected
314810,stage1,2023-05-22 - 10:01,stage2
314810,stage2,2023-06-25 - 10:35,stage3
314810,stage3,2023-07-13 - 19:53,stage4
314810,stage4,2023-06-24 - 08:03,Rejected
314810,stage1,2023-07-22 - 10:31,stage2
314810,stage2,2023-08-09 - 07:49,stage3
314810,stage3,2023-09-05 - 11:45,Rejected
314810,stage1,2023-09-01 - 13:10,stage2
314810,stage2,2023-09-06 - 13:15,stage3
314810,stage3,2023-09-30 - 10:39,stage4
314810,stage4,2023-09-23 - 11:32,stage5
314810,stage5,2023-10-24 - 19:32,stage6
314810,stage6,2023-11-19 - 10:58,stage7
314810,stage7,2023-10-27 - 15:35,stage8
314864,stage1,2023-06-20 - 20:30,stage2
314864,stage2,2023-06-06 - 09:16,stage3
314864,stage3,2023-06-17 - 14:27,Rejected
314864,stage1,2023-08-12 - 00:52,stage2
314864,stage2,2023-07-22 - 09:31,Rejected
314864,stage1,2023-07-22 - 12:00,stage2
314864,stage2,2023-08-17 - 12:26,stage3
314864,stage3,2023-08-15 - 10:24,Rejected
314864,stage1,2023-09-18 - 23:27,stage2
314864,stage2,2023-09-27 - 09:36,stage3
314864,stage3,2023-09-24 - 01:33,stage4
314864,stage4,2023-10-01 - 16:09,Rejected
314864,stage1,2023-10-01 - 11:09,stage2
314864,stage2,2023-11-11 - 11:50,stage3
314864,stage3,2023-11-17 - 08:56,stage4
314920,stage1,2023-05-14 - 20:24,stage2
314920,stage2,2023-05-22 - 10:01,stage3
314920,stage3,2023-07-17 - 11:26,Rejected
314920,stage1,2023-10-23 - 14:31,stage2
314920,stage2,2023-11-17 - 14:56,stage3
314920,stage3,2023-09-23 - 15:01,stage4
314920,stage4,2023-09-26 - 21:04,Rejected
314939,stage1,2023-07-09 - 20:49,stage2
314939,stage2,2023-07-06 - 09:46,stage3
314939,stage3,2023-06-17 - 14:27,Rejected
314939,stage1,2023-08-15 - 17:55,stage2
314939,stage2,2023-08-05 - 10:14,stage3
314939,stage3,2023-08-15 - 10:24,Rejected
314939,stage1,2023-09-09 - 10:49,stage2
314939,stage2,2023-10-19 - 09:58,Rejected
314939,stage1,2023-08-27 - 02:05,stage2
314939,stage2,2023-10-09 - 09:48,stage3
314939,stage3,2023-10-16 - 00:24,stage4
314939,stage4,2023-09-22 - 07:00,stage5
314939,stage5,2023-10-02 - 09:10,stage6
314939,stage6,2023-11-11 - 14:50,stage7
314939,stage7,2023-10-31 - 09:39,stage8
314962,stage1,2023-09-01 - 10:10,stage2
314962,stage2,2023-10-05 - 00:44,Rejected
314962,stage1,2023-09-20 - 09:29,stage2
314962,stage2,2023-10-20 - 08:59,Rejected
314962,stage1,2023-10-08 - 18:47,stage2
314962,stage2,2023-09-16 - 11:25,stage3
314962,stage3,2023-11-20 - 21:59,stage4
314962,stage4,2023-10-12 - 09:20,stage5
314962,stage5,2023-10-13 - 23:21,stage6
315044,stage1,2023-08-18 - 11:58,stage2
315044,stage2,2023-08-19 - 09:59,Rejected
315044,stage1,2023-10-12 - 17:51,stage2
315044,stage2,2023-10-17 - 10:56,Rejected
315044,stage1,2023-09-03 - 11:12,stage2
315044,stage2,2023-08-25 - 12:03,Rejected
315044,stage1,2023-10-17 - 16:56,stage2
315044,stage2,2023-09-14 - 08:23,stage3
315044,stage3,2023-09-02 - 15:11,stage4
315044,stage4,2023-09-29 - 00:38,stage5
315044,stage5,2023-10-02 - 17:41,stage6
315044,stage6,2023-10-05 - 16:13,Rejected
315044,stage1,2023-11-16 - 11:55,stage2
315044,stage2,2023-10-21 - 14:29,stage3
315044,stage3,2023-11-17 - 15:56,stage4
315044,stage4,2023-09-27 - 23:05,stage5
315044,stage5,2023-10-10 - 10:18,stage6
315049,stage1,2023-10-15 - 11:54,stage2
315086,stage1,2023-09-19 - 10:28,stage2
315086,stage2,2023-08-22 - 12:00,Rejected
315086,stage1,2023-09-05 - 10:14,stage2
315086,stage2,2023-08-29 - 14:07,Rejected
315086,stage1,2023-09-25 - 14:34,stage2
315086,stage2,2023-09-21 - 15:30,Rejected
315086,stage1,2023-10-02 - 15:41,stage2
315086,stage2,2023-10-07 - 07:46,stage3
315086,stage3,2023-09-28 - 17:37,stage4
315086,stage4,2023-10-20 - 15:59,stage5
315086,stage5,2023-08-25 - 22:03,stage6
315086,stage6,2023-10-02 - 13:10,Rejected
315086,stage1,2023-10-27 - 15:35,stage2
315086,stage2,2023-11-03 - 15:42,Rejected
315086,stage1,2023-11-09 - 15:48,stage2
315086,stage2,2023-10-03 - 16:11,stage3
315086,stage3,2023-10-29 - 16:37,stage4
315086,stage4,2023-09-22 - 23:00,stage5
315086,stage5,2023-10-19 - 15:27,stage6
315086,stage6,2023-09-23 - 09:01,stage7
315116,stage1,2023-11-08 - 16:47,stage2
315116,stage2,2023-10-31 - 07:39,Rejected
315116,stage1,2023-10-10 - 21:18,stage2
315116,stage2,2023-11-20 - 10:59,Rejected
315116,stage1,2023-11-09 - 15:48,stage2
315116,stage2,2023-11-01 - 11:40,Rejected
315116,stage1,2023-10-25 - 17:33,stage2
315116,stage2,2023-09-28 - 10:06,Rejected
315116,stage1,2023-10-10 - 20:18,stage2
315143,stage1,2023-06-09 - 09:19,stage2
315143,stage2,2023-07-12 - 11:52,stage3
315143,stage3,2023-09-06 - 08:46,Rejected
315143,stage1,2023-08-27 - 08:05,stage2
315143,stage2,2023-09-23 - 11:32,Rejected
315143,stage1,2023-11-11 - 10:50,stage2
315143,stage2,2023-11-16 - 10:55,stage3
315143,stage3,2023-10-24 - 10:32,Rejected
315143,stage1,2023-10-27 - 11:35,stage2
315143,stage2,2023-11-08 - 14:47,stage3
315195,stage1,2023-11-04 - 14:43,stage2
315353,stage1,2023-06-10 - 11:20,stage2
315353,stage2,2023-06-06 - 12:16,Rejected
315353,stage1,2023-06-14 - 12:24,stage2
315353,stage2,2023-07-19 - 07:59,stage3
315353,stage3,2023-05-27 - 09:06,stage4
315353,stage4,2023-08-16 - 07:56,Rejected
315353,stage1,2023-08-09 - 08:49,stage2
315353,stage2,2023-08-09 - 07:49,stage3
315353,stage3,2023-09-02 - 11:42,Rejected
315353,stage1,2023-09-11 - 22:20,stage2
315353,stage2,2023-10-20 - 09:59,stage3
315353,stage3,2023-09-27 - 10:36,stage4
315353,stage4,2023-09-10 - 11:19,stage5
315353,stage5,2023-10-22 - 19:30,stage6
315353,stage6,2023-10-23 - 10:31,stage7
315353,stage7,2023-10-22 - 15:30,stage8
315391,stage1,2023-09-27 - 20:36,stage2
315391,stage2,2023-10-04 - 10:43,stage3
315391,stage3,2023-09-26 - 08:04,Rejected
315391,stage1,2023-10-04 - 21:12,stage2
315391,stage2,2023-11-11 - 12:50,stage3
315391,stage3,2023-11-07 - 11:46,stage4
315391,stage4,2023-10-23 - 21:31,stage5
315427,stage1,2023-11-11 - 13:50,stage2
315427,stage2,2023-09-23 - 14:01,stage3
315427,stage3,2023-10-20 - 12:28,stage4
315427,stage4,2023-11-11 - 00:50,stage5
315427,stage5,2023-11-07 - 09:46,stage6
315427,stage6,2023-11-17 - 11:56,stage7
315427,stage7,2023-10-25 - 16:33,stage8
315439,stage1,2023-07-18 - 13:58,stage2
315439,stage2,2023-08-02 - 11:42,Rejected
315439,stage1,2023-07-31 - 12:40,stage2
315439,stage2,2023-07-30 - 10:08,Rejected
315439,stage1,2023-10-15 - 08:54,stage2
315439,stage2,2023-10-08 - 08:47,Rejected
315439,stage1,2023-10-17 - 08:56,stage2
315439,stage2,2023-08-22 - 09:00,stage3
315439,stage3,2023-10-01 - 14:09,Rejected
315439,stage1,2023-11-06 - 14:45,stage2
315439,stage2,2023-11-10 - 14:49,stage3
315439,stage3,2023-10-11 - 12:19,stage4
315633,stage1,2023-09-07 - 08:47,stage2
315633,stage2,2023-08-06 - 11:15,Rejected
315633,stage1,2023-09-25 - 11:34,stage2
315633,stage2,2023-09-27 - 11:36,Rejected
315633,stage1,2023-09-16 - 16:25,stage2
315633,stage2,2023-09-05 - 11:14,Rejected
315633,stage1,2023-09-09 - 10:18,stage2
315633,stage2,2023-08-22 - 10:00,stage3
315633,stage3,2023-10-18 - 23:57,stage4
315633,stage4,2023-10-12 - 10:20,Rejected
315633,stage1,2023-11-14 - 13:53,stage2
315633,stage2,2023-10-26 - 15:34,stage3
315664,stage1,2023-07-06 - 12:46,stage2
315664,stage2,2023-07-07 - 11:47,stage3
315664,stage3,2023-07-31 - 14:09,Rejected
315664,stage1,2023-08-04 - 14:13,stage2
315664,stage2,2023-09-15 - 10:55,Rejected
315664,stage1,2023-10-20 - 11:59,stage2
315664,stage2,2023-08-22 - 12:00,stage3
315664,stage3,2023-10-03 - 10:42,stage4
315664,stage4,2023-11-07 - 09:46,stage5
315664,stage5,2023-11-19 - 08:58,stage6
315664,stage6,2023-10-18 - 15:26,stage7
315664,stage7,2023-10-14 - 15:22,Rejected
315691,stage1,2023-05-24 - 21:34,stage2
315691,stage2,2023-07-07 - 11:47,stage3
315691,stage3,2023-07-04 - 08:44,Rejected
315691,stage1,2023-07-08 - 08:48,stage2
315691,stage2,2023-07-09 - 08:49,stage3
315691,stage3,2023-07-11 - 07:51,Rejected
315691,stage1,2023-08-18 - 07:58,stage2
315691,stage2,2023-07-16 - 12:25,stage3
315691,stage3,2023-06-26 - 16:05,stage4
315691,stage4,2023-08-06 - 09:46,Rejected
315691,stage1,2023-08-17 - 08:26,stage2
315691,stage2,2023-08-08 - 14:17,Rejected
315691,stage1,2023-08-23 - 11:32,stage2
315691,stage2,2023-09-05 - 11:45,Rejected
315691,stage1,2023-09-18 - 13:27,stage2
315691,stage2,2023-09-19 - 13:28,stage3
315691,stage3,2023-09-27 - 10:36,Rejected
315691,stage1,2023-10-14 - 10:53,stage2
315691,stage2,2023-09-04 - 11:13,Rejected
315691,stage1,2023-08-27 - 08:05,stage2
315691,stage2,2023-08-30 - 08:08,stage3
315691,stage3,2023-09-02 - 11:11,stage4
315725,stage1,2023-07-10 - 15:50,stage2
315725,stage2,2023-05-24 - 10:03,stage3
315725,stage3,2023-09-29 - 11:38,stage4
315725,stage4,2023-10-01 - 10:09,stage5
315725,stage5,2023-11-07 - 11:46,stage6
315945,stage1,2023-10-12 - 09:51,stage2
315945,stage2,2023-08-31 - 08:09,stage3
315945,stage3,2023-08-24 - 12:02,Rejected
315945,stage1,2023-08-24 - 22:02,stage2
315945,stage2,2023-10-11 - 12:50,Rejected
315945,stage1,2023-10-15 - 13:54,stage2
315945,stage2,2023-08-27 - 14:05,stage3
316071,stage1,2023-10-22 - 02:30,stage2
316071,stage2,2023-10-11 - 15:19,Rejected
316224,stage1,2023-06-30 - 13:40,stage2
316224,stage2,2023-07-16 - 14:25,stage3
316224,stage3,2023-08-07 - 10:47,stage4
316224,stage4,2023-08-18 - 12:27,Rejected
316224,stage1,2023-09-22 - 20:31,stage2
316224,stage2,2023-08-27 - 23:05,stage3
316224,stage3,2023-09-03 - 11:12,stage4
316336,stage1,2023-07-03 - 15:12,stage2
316336,stage2,2023-09-01 - 14:10,Rejected
316336,stage1,2023-09-21 - 21:30,stage2
316336,stage2,2023-10-12 - 11:51,stage3
316336,stage3,2023-09-02 - 16:11,stage4
316605,stage1,2023-07-13 - 15:22,stage2
316605,stage2,2023-07-06 - 14:15,stage3
316605,stage3,2023-07-24 - 13:02,Rejected
316605,stage1,2023-08-27 - 13:36,stage2
316605,stage2,2023-09-29 - 21:38,stage3
316605,stage3,2023-10-11 - 11:19,Rejected
316643,stage1,2023-10-10 - 10:49,stage2
316680,stage1,2023-09-02 - 20:11,stage2
316680,stage2,2023-09-04 - 20:13,Rejected
316680,stage1,2023-09-29 - 14:38,stage2
316680,stage2,2023-10-23 - 21:31,Rejected
316680,stage1,2023-11-05 - 08:44,stage2
316961,stage1,2023-09-03 - 02:12,stage2
317161,stage1,2023-10-01 - 09:40,stage2
317161,stage2,2023-11-09 - 20:48,Rejected
317163,stage1,2023-07-16 - 13:56,stage2
317163,stage2,2023-06-05 - 09:15,Rejected
317232,stage1,2023-09-16 - 20:25,stage2
317232,stage2,2023-09-18 - 09:27,stage3
317232,stage3,2023-10-19 - 15:58,stage4
317232,stage4,2023-11-04 - 12:43,stage5
317232,stage5,2023-10-21 - 15:29,stage6
317353,stage1,2023-10-23 - 12:31,stage2
317353,stage2,2023-11-19 - 09:58,Rejected
317355,stage1,2023-09-04 - 11:13,stage2
317355,stage2,2023-10-20 - 11:59,stage3
317355,stage3,2023-09-09 - 12:18,stage4
317355,stage4,2023-09-12 - 21:21,stage5
317355,stage5,2023-10-07 - 08:15,stage6
317355,stage6,2023-11-11 - 14:50,stage7
317355,stage7,2023-11-08 - 15:47,stage8
317364,stage1,2023-06-05 - 09:15,stage2
317364,stage2,2023-05-30 - 10:09,stage3
317364,stage3,2023-06-10 - 13:20,stage4
317364,stage4,2023-06-27 - 08:06,Rejected
317364,stage1,2023-08-15 - 12:55,stage2
317364,stage2,2023-06-21 - 13:00,stage3
317364,stage3,2023-08-20 - 08:29,Rejected
317364,stage1,2023-08-16 - 12:25,stage2
317364,stage2,2023-09-01 - 12:41,stage3
317364,stage3,2023-07-30 - 13:08,stage4
317364,stage4,2023-10-13 - 23:52,stage5
317364,stage5,2023-09-23 - 17:32,stage6
317364,stage6,2023-11-08 - 11:47,stage7
317364,stage7,2023-09-26 - 15:04,stage8
317384,stage1,2023-05-31 - 08:10,stage2
317384,stage2,2023-07-11 - 13:20,stage3
317384,stage3,2023-08-10 - 13:19,Rejected
